Index,ED,ESE,504,ELL,Sum Days Sus,ADA,PY SS,FAST PM1 SS,CY IR SS PM1,ELA QC,Port S1,CY IR SS PM2,FAST PM2 SS,CY IR SS PM3,Port S2,FAST PM3 SS,below_level_2,below_level_3
310,1,0,0,0,0,0.919075145,169.0,182.0,488.0,69.0,56.98033333,526.0,190.0,497.0,54.93675,209,0.0,0.0
311,1,0,0,0,0,0.919075145,133.0,176.0,433.0,15.0,22.08,479.0,185.0,476.0,66.1765,196,0.0,1.0
312,1,0,0,0,0,0.919075145,194.0,182.0,525.0,85.0,74.359,544.0,196.0,547.0,67.85725,218,0.0,0.0
313,0,0,0,0,1,0.919075145,171.0,172.0,443.0,38.0,39.03166667,479.0,169.0,507.0,48.9495,184,1.0,1.0
314,0,0,0,0,0,0.919075145,162.0,166.0,454.0,62.0,54.416,489.0,144.0,511.0,58.08825,188,0.0,1.0
315,1,0,0,0,0,0.919075145,187.0,197.0,467.0,77.0,60.684,534.0,199.0,561.0,58.4035,200,0.0,1.0
316,1,0,0,1,0,0.919075145,159.0,140.0,471.0,62.0,58.547,488.0,170.0,511.0,34.296,200,0.0,1.0
317,1,0,0,0,0,0.919075145,182.0,215.0,531.0,92.0,84.188,557.0,213.0,582.0,71.4285,211,0.0,0.0
318,1,0,0,0,0,0.919075145,226.0,198.0,563.0,85.0,76.06833333,561.0,193.0,561.0,53.15125,207,0.0,0.0
319,0,0,1,0,0,0.919075145,176.0,193.0,517.0,62.0,62.963,535.0,211.0,594.0,60.189,218,0.0,0.0
320,0,0,0,0,0,0.919075145,,,513.0,100.0,82.33633333,554.0,210.0,563.0,86.7645,240,0.0,0.0
321,1,0,0,0,0,0.922619048,209.0,184.0,513.0,69.0,71.36733333,553.0,204.0,586.0,80.8825,227,0.0,0.0
322,1,0,0,0,0,0.924418605,220.0,202.0,557.0,92.0,85.36333333,579.0,226.0,558.0,72.269,232,0.0,0.0
