Index,ED,ESE,504,ELL,Sum Days Sus,ADA,PY SS,FAST PM1 SS,CY IR SS PM1,ELA QC,Port S1,CY IR SS PM2,FAST PM2 SS,CY IR SS PM3,Port S2,FAST PM3 SS,below_level_2,below_level_3
1,1,0,0,0,0,0.531791908,,211.0,555.0,85.0,75.071,,209.0,587.0,81.72275,219,0.0,0.0
2,1,0,0,0,0,0.560693642,201.0,192.0,519.0,54.0,54.701,519.0,187.0,530.0,50.4205,210,0.0,0.0
3,1,1,0,0,0,0.593023256,144.0,164.0,422.0,23.0,21.36733333,461.0,175.0,522.0,55.8825,188,0.0,1.0
4,1,0,0,0,0,0.606936416,224.0,199.0,584.0,85.0,67.66366667,547.0,195.0,532.0,55.602,196,0.0,1.0
5,0,0,0,0,0,0.636363636,,,,,,,,591.0,62.185,234,0.0,0.0
6,0,1,0,0,0,0.666666667,,,,,,,,,,169,1.0,1.0
7,1,0,0,0,0,0.676300578,190.0,,515.0,85.0,86.03966667,536.0,212.0,551.0,76.471,219,0.0,0.0
8,1,0,0,0,0,0.705202312,,173.0,464.0,69.0,71.36733333,481.0,140.0,514.0,41.91175,200,0.0,1.0
9,1,0,0,0,0,0.728323699,167.0,184.0,504.0,58.0,40.862,463.0,172.0,499.0,38.025,187,0.0,1.0
10,0,1,0,0,0,0.739130435,,,,,,,,,,173,1.0,1.0
11,1,0,0,0,1,0.739884393,174.0,177.0,462.0,54.0,49.288,486.0,185.0,493.0,33.92825,191,0.0,1.0
12,1,0,1,0,0,0.74566474,117.0,147.0,400.0,46.0,36.966,390.0,174.0,373.0,14.706,172,1.0,1.0
13,1,0,0,0,0,0.751445087,198.0,198.0,512.0,62.0,48.148,487.0,192.0,510.0,40.96625,192,0.0,1.0
14,1,1,0,0,0,0.76300578,157.0,172.0,462.0,69.0,71.36733333,481.0,198.0,553.0,74.36975,195,0.0,1.0
15,1,0,0,0,0,0.76744186,167.0,181.0,477.0,46.0,41.59566667,479.0,192.0,503.0,51.68033333,194,0.0,1.0
16,1,1,0,0,0,0.774566474,199.0,193.0,515.0,85.0,77.208,482.0,198.0,515.0,83.47333333,193,0.0,1.0
17,1,0,0,1,0,0.779141104,150.0,,335.0,,42.857,364.0,172.0,373.0,11.765,179,1.0,1.0
18,1,1,0,0,0,0.780346821,75.0,179.0,405.0,92.0,91.16833333,451.0,140.0,430.0,54.832,187,0.0,1.0
19,1,0,1,0,0,0.780346821,198.0,188.0,507.0,77.0,75.071,556.0,203.0,554.0,52.381,210,0.0,0.0
20,1,1,0,0,0,0.786127168,177.0,173.0,461.0,62.0,61.3245,413.0,180.0,474.0,68.6975,189,0.0,1.0
21,1,0,0,0,0,0.786127168,246.0,229.0,608.0,85.0,94.87166667,631.0,235.0,638.0,84.3485,257,0.0,0.0
22,1,0,0,0,0,0.786127168,139.0,160.0,399.0,31.0,20.94,407.0,164.0,472.0,33.053,173,1.0,1.0
23,1,0,0,0,0,0.791907514,162.0,183.0,478.0,46.0,46.154,500.0,172.0,507.0,38.65525,181,1.0,1.0
24,1,1,0,0,0,0.791907514,186.0,194.0,477.0,38.0,46.154,518.0,185.0,496.0,66.24633333,188,0.0,1.0
25,1,0,0,0,0,0.791907514,218.0,212.0,577.0,100.0,91.6665,580.0,212.0,618.0,92.157,234,0.0,0.0
26,0,0,0,0,0,0.791907514,187.0,197.0,,77.0,82.76333333,523.0,188.0,527.0,65.44125,212,0.0,0.0
27,1,0,0,1,0,0.791907514,184.0,189.0,511.0,69.0,65.812,518.0,205.0,539.0,72.584,222,0.0,0.0
28,1,0,0,0,0,0.795454545,,198.0,,,79.06,536.0,201.0,540.0,76.99575,216,0.0,0.0
29,1,1,0,0,0,0.797619048,,,,,,,,396.0,35.15433333,184,1.0,1.0
30,1,1,0,0,0,0.797687861,,,481.0,77.0,73.93133333,506.0,204.0,534.0,42.577,218,0.0,0.0
31,1,0,0,0,0,0.797687861,201.0,191.0,533.0,92.0,65.09966667,557.0,,561.0,77.591,225,0.0,0.0
32,0,1,0,0,0,0.797687861,162.0,159.0,401.0,69.0,63.248,469.0,196.0,514.0,61.06466667,191,0.0,1.0
33,1,0,1,1,0,0.803468208,158.0,140.0,541.0,46.0,29.05966667,479.0,159.0,469.0,35.294,196,0.0,1.0
34,1,0,0,1,0,0.803468208,180.0,187.0,484.0,77.0,64.38766667,518.0,191.0,527.0,53.22133333,210,0.0,0.0
35,1,0,0,0,0,0.803468208,,,,,83.333,,,,,191,0.0,1.0
36,1,0,0,0,0,0.80625,192.0,,478.0,54.0,52.99166667,507.0,199.0,503.0,51.54066667,199,0.0,1.0
37,1,0,1,0,0,0.809248555,,140.0,525.0,62.0,72.4355,579.0,211.0,544.0,77.17066667,217,0.0,0.0
38,1,1,0,0,0,0.809248555,170.0,152.0,481.0,69.0,61.396,502.0,177.0,515.0,41.2815,196,0.0,1.0
39,1,1,0,0,0,0.809248555,143.0,168.0,358.0,23.0,25.356,317.0,161.0,392.0,32.1425,160,1.0,1.0
40,1,0,0,0,0,0.809248555,187.0,211.0,525.0,100.0,82.76333333,559.0,214.0,581.0,82.87825,227,0.0,0.0
41,1,0,1,0,0,0.809248555,192.0,201.0,546.0,69.0,46.29633333,551.0,214.0,560.0,69.32766667,212,0.0,0.0
42,1,0,0,0,0,0.809248555,186.0,194.0,523.0,77.0,78.34766667,526.0,192.0,515.0,67.85725,204,0.0,0.0
43,1,0,0,0,0,0.809248555,188.0,182.0,496.0,85.0,78.34733333,533.0,201.0,605.0,86.1345,213,0.0,0.0
44,1,0,0,0,0,0.810344828,,,,,,,,585.0,70.588,228,0.0,0.0
45,0,1,0,0,0,0.814814815,,,,,,,,,,160,1.0,1.0
46,1,1,0,0,1,0.815028902,75.0,163.0,369.0,,28.205,436.0,176.0,512.0,43.13733333,140,1.0,1.0
47,1,0,0,0,0,0.820809249,214.0,210.0,543.0,77.0,62.53566667,582.0,201.0,580.0,82.353,234,0.0,0.0
48,1,0,0,0,0,0.820809249,148.0,170.0,472.0,38.0,34.61566667,489.0,178.0,517.0,54.30675,187,0.0,1.0
49,1,0,0,0,0,0.820809249,205.0,193.0,532.0,62.0,72.4355,540.0,212.0,553.0,53.22133333,216,0.0,0.0
50,1,0,0,0,0,0.820809249,171.0,140.0,498.0,85.0,77.635,522.0,203.0,568.0,54.30675,212,0.0,0.0
51,0,0,0,0,0,0.822429907,,,,,,550.0,201.0,571.0,90.89633333,232,0.0,0.0
52,1,1,0,0,0,0.826589595,133.0,154.0,366.0,,,374.0,147.0,385.0,,191,0.0,1.0
53,1,1,0,0,1,0.826589595,181.0,179.0,418.0,85.0,54.416,447.0,180.0,462.0,29.412,187,0.0,1.0
54,1,0,0,0,0,0.826589595,236.0,221.0,610.0,92.0,97.436,624.0,240.0,655.0,85.43433333,240,0.0,0.0
55,1,0,1,0,0,0.826589595,164.0,159.0,482.0,62.0,52.564,516.0,180.0,520.0,41.73666667,204,0.0,0.0
56,1,0,0,0,0,0.826589595,172.0,166.0,513.0,62.0,58.83166667,513.0,179.0,527.0,56.3025,214,0.0,0.0
57,1,1,0,0,0,0.831395349,149.0,171.0,418.0,46.0,36.46733333,442.0,186.0,486.0,46.63875,180,1.0,1.0
58,1,0,0,0,0,0.832369942,188.0,188.0,505.0,77.0,63.248,514.0,180.0,513.0,45.378,189,0.0,1.0
59,1,0,0,0,0,0.832369942,189.0,200.0,531.0,92.0,85.043,535.0,208.0,556.0,73.249,209,0.0,0.0
60,1,1,0,0,0,0.838150289,170.0,173.0,429.0,8.0,16.95166667,431.0,140.0,461.0,24.36966667,185,1.0,1.0
61,1,1,0,0,0,0.838150289,131.0,164.0,382.0,,22.222,372.0,140.0,494.0,,204,0.0,0.0
62,1,0,1,0,0,0.838150289,207.0,202.0,,77.0,70.65533333,539.0,195.0,539.0,68.4875,210,0.0,0.0
63,1,0,0,0,0,0.838150289,191.0,187.0,515.0,69.0,62.53566667,520.0,192.0,534.0,72.89925,217,0.0,0.0
64,0,0,0,0,0,0.838150289,207.0,191.0,531.0,77.0,73.93133333,539.0,215.0,579.0,88.23533333,215,0.0,0.0
65,1,0,0,0,0,0.838150289,209.0,214.0,534.0,85.0,67.66366667,551.0,210.0,571.0,71.74375,223,0.0,0.0
66,1,0,0,0,0,0.838150289,190.0,201.0,518.0,77.0,73.93133333,526.0,208.0,552.0,67.01675,207,0.0,0.0
67,0,0,0,0,0,0.838150289,193.0,182.0,506.0,62.0,50.377,532.0,194.0,548.0,55.147,208,0.0,0.0
68,1,0,0,1,0,0.838150289,75.0,177.0,319.0,38.0,41.453,339.0,174.0,432.0,13.0255,140,1.0,1.0
69,1,0,0,0,3,0.839506173,,,417.0,54.0,46.3675,486.0,164.0,454.0,34.55875,170,1.0,1.0
70,1,0,0,0,0,0.843930636,197.0,191.0,474.0,62.0,58.54666667,515.0,203.0,546.0,59.03375,216,0.0,0.0
71,0,0,0,0,0,0.843930636,212.0,217.0,571.0,77.0,72.07966667,581.0,218.0,565.0,79.41175,224,0.0,0.0
72,1,0,0,0,0,0.843930636,204.0,197.0,529.0,92.0,86.04,545.0,212.0,560.0,69.64275,215,0.0,0.0
73,1,0,0,1,0,0.848837209,178.0,183.0,489.0,69.0,61.111,507.0,185.0,513.0,65.406,198,0.0,1.0
74,1,1,0,0,0,0.849710983,135.0,162.0,408.0,33.0,47.222,421.0,164.0,463.0,28.046,212,0.0,0.0
75,1,1,0,0,0,0.849710983,198.0,188.0,497.0,77.0,68.80333333,498.0,198.0,542.0,55.46233333,193,0.0,1.0
76,1,1,0,0,0,0.849710983,176.0,140.0,382.0,77.0,60.684,465.0,165.0,517.0,53.6765,180,1.0,1.0
77,1,1,0,0,0,0.849710983,171.0,182.0,452.0,58.0,61.04,512.0,,502.0,46.2185,200,0.0,1.0
78,0,0,0,0,0,0.849710983,181.0,186.0,474.0,69.0,62.3935,510.0,179.0,505.0,33.08825,192,0.0,1.0
79,0,1,0,0,0,0.849710983,149.0,,361.0,,,444.0,171.0,455.0,,195,0.0,1.0
80,0,0,0,0,0,0.849710983,197.0,198.0,485.0,85.0,77.208,516.0,205.0,496.0,49.2645,209,0.0,0.0
81,1,0,0,0,0,0.849710983,216.0,214.0,580.0,100.0,88.889,590.0,214.0,593.0,78.01133333,236,0.0,0.0
82,0,0,0,0,0,0.849710983,209.0,211.0,549.0,92.0,81.624,561.0,205.0,557.0,78.78125,206,0.0,0.0
83,0,0,1,1,0,0.849710983,176.0,182.0,525.0,62.0,54.843,512.0,211.0,514.0,70.028,221,0.0,0.0
84,1,0,0,0,0,0.849710983,187.0,186.0,500.0,69.0,55.12833333,533.0,197.0,534.0,60.50425,201,0.0,0.0
85,0,1,0,0,0,0.849710983,157.0,140.0,423.0,62.0,48.148,441.0,185.0,471.0,63.44533333,180,1.0,1.0
86,1,0,0,0,0,0.85380117,216.0,212.0,547.0,100.0,97.436,591.0,223.0,603.0,81.72275,228,0.0,0.0
87,1,0,0,0,0,0.854651163,211.0,194.0,507.0,77.0,77.208,529.0,215.0,555.0,71.4285,204,0.0,0.0
88,1,1,0,0,0,0.855263158,,,,,,,,447.0,57.143,202,0.0,0.0
89,1,0,0,0,0,0.855263158,,,,,,,,475.0,39.706,194,0.0,1.0
90,0,0,0,0,0,0.855491329,170.0,173.0,475.0,77.0,51.13966667,468.0,189.0,536.0,58.7185,215,0.0,0.0
91,1,0,0,0,0,0.855491329,187.0,177.0,492.0,67.0,72.2225,529.0,189.0,528.0,46.3235,205,0.0,0.0
92,0,0,0,0,0,0.855491329,179.0,140.0,474.0,77.0,66.95166667,517.0,185.0,480.0,59.66375,175,1.0,1.0
93,1,0,0,0,0,0.855491329,,140.0,403.0,54.0,46.3675,438.0,181.0,431.0,33.47333333,170,1.0,1.0
94,1,0,0,0,0,0.855491329,200.0,181.0,512.0,69.0,61.82366667,515.0,200.0,526.0,55.182,211,0.0,0.0
95,0,0,0,1,0,0.857142857,,,,,,,,,,167,1.0,1.0
96,1,0,0,0,0,0.861271676,,199.0,509.0,62.0,53.846,518.0,206.0,530.0,47.19866667,210,0.0,0.0
97,1,1,0,0,0,0.861271676,197.0,190.0,462.0,69.0,61.5385,473.0,195.0,544.0,67.437,209,0.0,0.0
98,1,0,0,0,0,0.861271676,191.0,194.0,505.0,62.0,75.56533333,532.0,212.0,521.0,67.01675,204,0.0,0.0
99,1,0,0,0,0,0.861271676,188.0,190.0,515.0,62.0,68.803,518.0,202.0,557.0,62.28975,214,0.0,0.0
100,1,0,1,0,0,0.861271676,167.0,163.0,406.0,31.0,33.90333333,474.0,181.0,516.0,35.01366667,185,1.0,1.0
101,1,0,0,0,0,0.861271676,205.0,193.0,554.0,85.0,79.05966667,568.0,214.0,578.0,75.63033333,223,0.0,0.0
102,0,1,0,0,0,0.861271676,202.0,181.0,497.0,,71.3675,522.0,193.0,508.0,52.28475,203,0.0,0.0
103,1,0,0,0,0,0.861271676,212.0,213.0,574.0,92.0,97.436,588.0,218.0,578.0,86.44975,229,0.0,0.0
104,0,1,0,0,0,0.862318841,,,,31.0,26.49566667,415.0,176.0,489.0,31.30225,189,0.0,1.0
105,1,0,0,0,2,0.865497076,194.0,191.0,488.0,85.0,86.752,530.0,174.0,510.0,73.73975,221,0.0,0.0
106,1,1,0,0,0,0.865497076,178.0,189.0,429.0,85.0,55.84033333,462.0,190.0,475.0,59.944,198,0.0,1.0
107,1,1,0,0,0,0.867052023,165.0,175.0,494.0,85.0,60.68366667,511.0,189.0,533.0,70.86866667,208,0.0,0.0
108,1,0,0,0,0,0.867052023,146.0,148.0,399.0,,43.8035,466.0,,457.0,30.147,162,1.0,1.0
109,0,0,0,0,0,0.867052023,195.0,182.0,510.0,77.0,47.436,537.0,192.0,535.0,47.26875,205,0.0,0.0
110,1,0,0,0,0,0.867052023,173.0,140.0,487.0,62.0,49.28766667,481.0,140.0,538.0,61.06466667,202,0.0,0.0
111,1,0,0,0,0,0.867052023,212.0,180.0,526.0,77.0,72.07966667,571.0,208.0,543.0,63.3485,215,0.0,0.0
112,1,0,0,1,0,0.867052023,205.0,198.0,526.0,62.0,72.07966667,556.0,214.0,569.0,59.10366667,216,0.0,0.0
113,1,0,0,0,0,0.867052023,179.0,169.0,468.0,77.0,61.82333333,505.0,175.0,514.0,70.588,201,0.0,0.0
114,1,0,0,0,0,0.867052023,206.0,194.0,521.0,77.0,75.356,559.0,201.0,569.0,82.353,224,0.0,0.0
115,1,0,0,0,0,0.867052023,188.0,199.0,524.0,77.0,63.4615,563.0,192.0,541.0,69.958,208,0.0,0.0
116,1,0,0,0,1,0.872,169.0,184.0,463.0,31.0,23.50433333,476.0,178.0,,5.882,183,1.0,1.0
117,0,0,0,0,0,0.87283237,167.0,174.0,367.0,23.0,22.08,401.0,189.0,441.0,28.9915,179,1.0,1.0
118,1,1,0,0,0,0.87283237,194.0,196.0,530.0,85.0,85.32733333,544.0,207.0,569.0,82.03775,211,0.0,0.0
119,1,0,0,0,0,0.87283237,168.0,175.0,468.0,54.0,43.73233333,489.0,178.0,507.0,34.769,178,1.0,1.0
120,1,0,0,0,0,0.87283237,196.0,190.0,541.0,85.0,71.36733333,534.0,200.0,571.0,72.584,196,0.0,1.0
121,0,0,0,0,0,0.87283237,227.0,214.0,553.0,92.0,93.02,559.0,219.0,600.0,86.1345,240,0.0,0.0
122,1,0,0,0,0,0.87283237,183.0,200.0,529.0,85.0,75.356,531.0,206.0,556.0,67.017,229,0.0,0.0
123,1,0,0,0,0,0.87283237,176.0,189.0,499.0,77.0,55.27066667,500.0,195.0,484.0,54.83175,211,0.0,0.0
124,1,0,0,0,0,0.87283237,179.0,183.0,534.0,85.0,74.64366667,533.0,201.0,525.0,55.4625,209,0.0,0.0
125,1,0,0,0,0,0.87283237,184.0,178.0,491.0,77.0,78.34766667,522.0,201.0,550.0,57.423,211,0.0,0.0
126,1,0,0,0,0,0.87283237,163.0,180.0,411.0,46.0,54.13133333,502.0,182.0,527.0,36.27433333,200,0.0,1.0
127,0,0,0,0,0,0.876811594,,143.0,,,42.5215,480.0,177.0,528.0,43.38225,204,0.0,0.0
128,1,0,0,0,0,0.877192982,196.0,206.0,535.0,85.0,92.30766667,579.0,213.0,550.0,80.252,219,0.0,0.0
129,0,0,0,0,0,0.877906977,,192.0,527.0,69.0,73.21933333,550.0,213.0,568.0,80.56725,222,0.0,0.0
130,1,0,0,0,0,0.878612717,161.0,189.0,501.0,85.0,81.62366667,517.0,192.0,540.0,59.804,221,0.0,0.0
131,1,1,0,0,0,0.878612717,149.0,172.0,409.0,54.0,41.59566667,474.0,167.0,512.0,68.0675,198,0.0,1.0
132,1,1,0,0,0,0.878612717,189.0,175.0,485.0,69.0,59.6155,495.0,183.0,471.0,,196,0.0,1.0
133,1,0,0,0,0,0.878612717,194.0,202.0,536.0,92.0,86.752,551.0,217.0,559.0,78.32175,206,0.0,0.0
134,1,0,0,0,0,0.878612717,216.0,197.0,562.0,100.0,86.752,594.0,217.0,600.0,85.85433333,233,0.0,0.0
135,0,0,0,0,0,0.878612717,195.0,197.0,534.0,92.0,73.50433333,563.0,209.0,557.0,58.824,207,0.0,0.0
136,1,0,0,0,0,0.878612717,210.0,217.0,536.0,85.0,75.78333333,550.0,223.0,579.0,75.21,222,0.0,0.0
137,0,0,0,0,0,0.878612717,189.0,197.0,513.0,92.0,77.92033333,515.0,206.0,535.0,68.48733333,221,0.0,0.0
138,0,0,0,0,0,0.878612717,203.0,193.0,517.0,85.0,77.635,557.0,193.0,557.0,72.89925,204,0.0,0.0
139,1,1,0,0,0,0.878612717,197.0,195.0,518.0,92.0,87.8205,538.0,172.0,538.0,36.1345,213,0.0,0.0
140,1,0,0,0,0,0.883040936,187.0,189.0,518.0,85.0,75.78333333,499.0,190.0,554.0,74.0545,192,0.0,1.0
141,1,1,0,0,3,0.88372093,186.0,204.0,521.0,85.0,82.735,550.0,202.0,576.0,71.70866667,218,0.0,0.0
142,0,0,1,0,0,0.88372093,185.0,140.0,488.0,69.0,61.396,514.0,190.0,548.0,65.406,199,0.0,1.0
143,1,0,0,0,0,0.884393064,199.0,182.0,499.0,77.0,57.26466667,509.0,187.0,520.0,49.1595,188,0.0,1.0
144,1,0,0,0,0,0.884393064,184.0,186.0,504.0,77.0,47.436,544.0,181.0,505.0,52.52125,204,0.0,0.0
145,1,0,0,0,0,0.884393064,199.0,190.0,504.0,75.0,75.14233333,565.0,209.0,585.0,80.56725,217,0.0,0.0
146,0,0,0,0,0,0.884393064,197.0,156.0,516.0,85.0,65.09966667,514.0,193.0,531.0,53.466,188,0.0,1.0
147,1,0,1,0,0,0.884393064,180.0,183.0,488.0,85.0,73.93133333,517.0,176.0,529.0,63.6555,200,0.0,1.0
148,1,0,0,0,0,0.884393064,182.0,191.0,481.0,54.0,54.84333333,497.0,197.0,522.0,41.70175,193,0.0,1.0
149,1,0,0,0,0,0.884393064,154.0,180.0,468.0,62.0,48.86033333,489.0,183.0,498.0,53.7815,206,0.0,0.0
150,1,1,0,0,0,0.884393064,195.0,188.0,512.0,100.0,73.93166667,533.0,183.0,554.0,69.748,214,0.0,0.0
151,1,1,0,0,0,0.884393064,158.0,173.0,441.0,92.0,83.476,486.0,171.0,557.0,74.0545,203,0.0,0.0
152,1,0,0,1,0,0.884393064,157.0,169.0,480.0,54.0,56.26766667,489.0,197.0,517.0,55.77725,201,0.0,0.0
153,1,1,0,1,0,0.884393064,75.0,164.0,381.0,15.0,39.31633333,399.0,140.0,399.0,38.51566667,181,1.0,1.0
154,1,0,0,0,0,0.884393064,180.0,193.0,477.0,62.0,71.65233333,530.0,205.0,542.0,73.21425,200,0.0,1.0
155,1,1,0,0,0,0.884393064,173.0,174.0,461.0,92.0,67.23666667,500.0,185.0,549.0,48.1095,207,0.0,0.0
156,1,0,0,0,0,0.884393064,196.0,204.0,529.0,85.0,68.091,536.0,208.0,592.0,75.84025,225,0.0,0.0
157,1,0,0,0,0,0.884393064,164.0,193.0,443.0,69.0,69.51566667,486.0,183.0,486.0,56.0925,189,0.0,1.0
158,1,0,0,0,0,0.884393064,213.0,204.0,594.0,85.0,70.65533333,555.0,214.0,606.0,93.69733333,218,0.0,0.0
159,1,0,1,0,0,0.884393064,208.0,183.0,536.0,69.0,73.21933333,542.0,198.0,600.0,71.28866667,209,0.0,0.0
160,1,1,0,0,0,0.884393064,,179.0,380.0,46.0,40.70533333,406.0,177.0,412.0,38.65525,185,1.0,1.0
161,0,1,0,0,0,0.884615385,,,,,,,,412.0,41.176,166,1.0,1.0
162,0,0,0,0,0,0.888235294,194.0,182.0,500.0,85.0,83.974,560.0,209.0,555.0,80.56725,205,0.0,0.0
163,1,1,0,0,0,0.888888889,123.0,178.0,397.0,38.0,66.95166667,415.0,175.0,433.0,45.378,182,1.0,1.0
164,0,0,0,0,0,0.89010989,,,,,,,169.0,478.0,48.03933333,210,0.0,0.0
165,1,1,0,0,0,0.89017341,177.0,187.0,486.0,62.0,69.80066667,529.0,198.0,560.0,78.01133333,191,0.0,1.0
166,1,1,0,0,0,0.89017341,191.0,192.0,431.0,69.0,59.97166667,516.0,189.0,522.0,54.06133333,216,0.0,0.0
167,1,0,1,0,0,0.89017341,162.0,176.0,442.0,85.0,61.396,490.0,171.0,588.0,53.92166667,199,0.0,1.0
168,1,1,0,0,0,0.89017341,155.0,182.0,424.0,69.0,64.67266667,442.0,176.0,485.0,50.21025,182,1.0,1.0
169,0,0,0,0,0,0.89017341,169.0,186.0,482.0,62.0,47.15066667,476.0,190.0,505.0,34.17366667,217,0.0,0.0
170,0,0,0,0,0,0.89017341,205.0,210.0,543.0,100.0,97.222,558.0,210.0,567.0,83.89366667,221,0.0,0.0
171,1,0,0,0,0,0.89017341,191.0,190.0,551.0,85.0,74.64366667,499.0,175.0,519.0,33.92825,195,0.0,1.0
172,1,0,0,0,0,0.89017341,205.0,180.0,511.0,46.0,46.29633333,517.0,193.0,528.0,64.601,209,0.0,0.0
173,0,0,0,0,0,0.89017341,197.0,194.0,539.0,69.0,64.38766667,533.0,210.0,559.0,67.787,218,0.0,0.0
174,1,0,0,0,0,0.89017341,182.0,177.0,484.0,54.0,46.3675,513.0,191.0,507.0,31.092,202,0.0,0.0
175,1,0,0,0,0,0.89017341,198.0,209.0,525.0,92.0,76.49566667,552.0,209.0,544.0,77.626,217,0.0,0.0
176,1,0,0,0,0,0.89017341,181.0,175.0,506.0,77.0,79.638,520.0,186.0,512.0,43.2775,187,0.0,1.0
177,0,0,0,0,0,0.89017341,183.0,174.0,435.0,77.0,72.07966667,490.0,181.0,526.0,59.559,206,0.0,0.0
178,1,0,0,0,0,0.89017341,193.0,184.0,493.0,77.0,71.36733333,533.0,192.0,557.0,68.6975,208,0.0,0.0
179,1,0,0,0,2,0.89017341,177.0,183.0,461.0,62.0,52.99133333,519.0,192.0,515.0,83.47333333,189,0.0,1.0
180,0,0,0,0,0,0.89017341,224.0,221.0,598.0,92.0,97.436,614.0,250.0,632.0,89.391,256,0.0,0.0
181,1,0,1,1,0,0.89017341,147.0,140.0,421.0,62.0,45.15666667,468.0,181.0,486.0,47.059,181,1.0,1.0
182,1,0,0,0,0,0.89017341,174.0,187.0,465.0,23.0,29.77233333,486.0,170.0,515.0,52.206,186,0.0,1.0
183,1,0,0,0,0,0.89017341,186.0,188.0,511.0,92.0,77.208,516.0,193.0,527.0,64.916,202,0.0,0.0
184,1,0,0,0,0,0.89017341,210.0,189.0,513.0,100.0,87.89166667,571.0,208.0,572.0,56.0925,210,0.0,0.0
185,0,0,0,0,0,0.89017341,188.0,183.0,513.0,85.0,73.50433333,521.0,194.0,547.0,76.15575,227,0.0,0.0
186,1,0,0,1,0,0.89017341,,140.0,301.0,,,311.0,166.0,340.0,30.8825,166,1.0,1.0
187,1,0,0,1,0,0.894736842,183.0,195.0,511.0,85.0,73.93133333,520.0,203.0,547.0,62.92,217,0.0,0.0
188,0,0,1,0,0,0.895348837,215.0,214.0,588.0,100.0,93.01966667,595.0,220.0,598.0,83.89333333,225,0.0,0.0
189,0,0,0,0,0,0.895348837,214.0,167.0,517.0,77.0,73.21933333,542.0,204.0,570.0,83.47333333,218,0.0,0.0
190,1,1,0,0,5,0.895953757,127.0,182.0,455.0,69.0,70.94033333,463.0,180.0,525.0,77.521,185,1.0,1.0
191,1,0,1,0,0,0.895953757,178.0,179.0,491.0,77.0,58.82366667,489.0,189.0,504.0,52.83625,207,0.0,0.0
192,1,1,0,0,0,0.895953757,156.0,173.0,429.0,69.0,39.31633333,456.0,174.0,522.0,38.65533333,179,1.0,1.0
193,1,1,0,0,0,0.895953757,179.0,199.0,516.0,85.0,78.4185,534.0,203.0,562.0,68.0675,215,0.0,0.0
194,1,1,0,0,2,0.895953757,130.0,149.0,370.0,,,416.0,165.0,423.0,,140,1.0,1.0
195,1,0,0,0,0,0.895953757,153.0,172.0,426.0,38.0,43.44733333,474.0,172.0,515.0,60.18925,199,0.0,1.0
196,0,1,0,0,0,0.895953757,218.0,199.0,561.0,100.0,88.604,561.0,212.0,587.0,75.63033333,239,0.0,0.0
197,1,0,0,0,0,0.895953757,201.0,201.0,516.0,85.0,78.34733333,523.0,192.0,567.0,77.591,217,0.0,0.0
198,1,0,0,0,0,0.895953757,208.0,185.0,505.0,85.0,84.61533333,541.0,213.0,,70.5885,214,0.0,0.0
199,0,0,0,0,0,0.895953757,180.0,211.0,529.0,77.0,80.128,558.0,215.0,551.0,75.525,217,0.0,0.0
200,1,0,0,0,0,0.895953757,186.0,194.0,512.0,,47.009,530.0,204.0,543.0,68.62766667,213,0.0,0.0
201,1,0,0,0,0,0.895953757,146.0,165.0,460.0,54.0,63.675,503.0,187.0,509.0,56.0925,199,0.0,1.0
202,1,0,0,0,0,0.895953757,187.0,184.0,503.0,77.0,64.38766667,530.0,198.0,538.0,65.82633333,203,0.0,0.0
