CODED_ID,SCHOOL_ID,GRADE,GENDER,FNR_STATUS_CODE,FNR_STATUS_DESCRIPTION,SINGLE_ETHNICITY,LEP_CODE,LEP_DESCRIPTION,PRIM_EX_CODE,PRIM_EX,OTHER_EX_CODES,OTHER_EX,GIFTED,ESE,HOMELESS_CODE,HOMELESS_CAUSE,HOMELESS_UNAC_YTH,GIFTED_ELIG,S504,PRIM_HOME_LANG,LNF,PSF,NWF_Letter,NWF_Word,ORF_WC,UnifiedScore,FAST_Equivalent_Score,PR,NCE,Overall_Scale_Score,Phonological_Awareness_Scale_Score,Phonics_Scale_Score,Vocabulary_Scale_Score,FAST_PM3_AchievementLevel,iReady_Spring_Placement
1208688,101,2,F,0,Paid Lunch [0],Hispanic,ZZ,Tested - not eligible [TZ],,,,,Y,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,125.0,39.0,78.0,1042.0,220.0,98.0,93.3,561.0,,537.0,567.0,Level 5,Mid or Above Grade Level
1209380,101,2,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Not homeless [Z],Z,Not 504 Eligible[Z],SP,,,78.0,19.0,40.0,816.0,143.0,30.0,39.0,415.0,,438.0,410.0,Level 2,1 Grade Level Below
1209474,101,2,M,D,Direct Cert/Free Lunch [D],White,LY,LEP in LEP classes [LY],K,K - Specific Learning Disabled,K,K - Specific Learning Disabled,N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,34.0,7.0,30.0,825.0,146.0,33.0,40.7,398.0,382.0,396.0,392.0,Level 2,2 Grade Levels Below
1209578,101,2,M,3,Eligible for Reduced Lunch [3],Hispanic,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,56.0,16.0,39.0,855.0,156.0,43.0,46.3,442.0,435.0,392.0,458.0,Level 2,Early On Grade Level
1209629,101,2,F,0,Paid Lunch [0],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,46.0,14.0,32.0,850.0,155.0,42.0,45.8,423.0,,444.0,416.0,Level 3,Early On Grade Level
1209692,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,LA,Completed 2 Year Follow up & Exited ESOL Yrs 3 & 4 Follow up[LA],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,,,96.0,941.0,186.0,79.0,67.0,504.0,,535.0,460.0,Level 4,Mid or Above Grade Level
1209965,101,2,F,0,Paid Lunch [0],Hispanic,ZZ,Tested - not eligible [TZ],,,,,Y,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,76.0,23.0,69.0,926.0,180.0,73.0,62.9,511.0,,501.0,525.0,Level 4,Mid or Above Grade Level
1209966,101,2,M,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],F,F - Speech Impaired,,,N,Y,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,36.0,6.0,50.0,854.0,156.0,43.0,46.3,483.0,,571.0,487.0,Level 3,Early On Grade Level
1209967,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Not homeless [Z],Z,Not 504 Eligible[Z],SP,,,67.0,19.0,52.0,883.0,166.0,55.0,52.6,470.0,,468.0,444.0,Level 4,Mid or Above Grade Level
1209970,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Not applicable [ZZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],EN,,,39.0,9.0,15.0,757.0,123.0,11.0,24.2,415.0,,431.0,421.0,Level 1,1 Grade Level Below
1209971,101,2,F,D,Direct Cert/Free Lunch [D],White,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,45.0,14.0,13.0,766.0,126.0,14.0,27.2,421.0,430.0,409.0,434.0,Level 1,1 Grade Level Below
1209972,101,2,M,D,Direct Cert/Free Lunch [D],Hispanic,ZZ,Tested - not eligible [TZ],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,105.0,35.0,62.0,875.0,163.0,51.0,50.5,507.0,,558.0,434.0,Level 3,Mid or Above Grade Level
1209973,101,2,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,37.0,5.0,25.0,789.0,134.0,20.0,32.3,426.0,,429.0,413.0,Level 2,1 Grade Level Below
1209974,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,120.0,39.0,82.0,897.0,171.0,61.0,55.9,494.0,,516.0,455.0,Level 3,Mid or Above Grade Level
1209975,101,2,M,F,Eligible for Free Lunch [F],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,B,Other homelessness causes [N],"N - No, Is homeless but does not meet the definiton of unaccompanied youth",Z,Not 504 Eligible[Z],SP,,,43.0,12.0,45.0,798.0,137.0,23.0,34.4,431.0,,421.0,437.0,Level 2,Early On Grade Level
1209987,101,1,M,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],K,K - Specific Learning Disabled,,,N,Y,N,Not homeless [Z],Z - Not homeless,Z,Section 504 Eligible + No Plan [Y],EN,23.0,23.0,29.0,2.0,0.0,720.0,111.0,27.0,37.1,399.0,358.0,393.0,384.0,Level 2,1 Grade Level Below
1209989,101,2,F,D,Direct Cert/Free Lunch [D],Hispanic,LY,LEP in LEP classes [LY],,,,,N,N,N,Not homeless [Z],Z - Not homeless,Z,Not 504 Eligible[Z],SP,,,30.0,7.0,16.0,813.0,142.0,29.0,38.3,425.0,434.0,395.0,433.0,Level 2,1 Grade Level Below
